"Name","Tier","Type","Difficulty","Major_Threshold","Severe_Threshold","HP","Stress","Attack_Modifier","Attack_Range","Damage_Dice","Experiences","Features","Description","Motives_Tactics"
"Pirate Captain","1","Leader","14","7","14","7","5","1","Melee","1d12+2 phy","[{""name"":""Commander"",""value"":2},{""name"":""Sailor"",""value"":3}]","[{""name"":""Swashbuckler"",""description"":""When the Captain marks 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.""},{""name"":""Reinforcements"",""description"":""Once per scene, mark a Stress to summon a Pirate Raiders Horde, which appears at Far range.""},{""name"":""No Quarter"",""description"":""Spend a Fear to choose a target who has three or more Pirates within Melee range of them. The Captain leads the Pirates in hurling threats and promises of a watery grave. The target must make a Presence Reaction Roll. On a failure, the target marks 1d4+1 Stress. On a success, they must mark a Stress.""},{""name"":""Momentum"",""description"":""When the Captain makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Captain makes a successful attack against a PC, you gain a Fear.","Pirate CaptainPage 216"
"Pirate Raiders","1","Horde","12","5","11","4","3","1","Melee","1d8+2 phy","[{""name"":""Sailor"",""value"":3}]","[{""name"":""Swashbuckler"",""description"":""When the Raiders mark 2 or fewer HP from an attack within Melee range, the attacker must mark a""}]","Pirate RaidersPage 216","ersPage 216"
"Pirate Tough","1","Bruiser","13","8","15","5","3","1","Melee","2d6 phy","[{""name"":""Sailor"",""value"":2}]","[{""name"":""Swashbuckler"",""description"":""When the Tough marks 2 or fewer HP from an attack within Melee range, the attacker must mark a Stress.""},{""name"":""Clear the Decks"",""description"":""Make an attack against a target within Very Close range. On a success, mark a Stress to move into Melee range of the target, dealing 3d4 physical damage and knocking the target back to""}]","On a success, mark a Stress to move into Melee range of the target, dealing 3d4 physical damage and knocking the target back to Close range.","Pirate ToughPage 216"
"Red Ooze","1","Skulk","10","6","11","5","3","1","Melee","1d8+3 mag","[{""name"":""Camouflage"",""value"":3}]","[{""name"":""Creeping Fire"",""description"":""The Ooze can only move within Very Close range as their normal movement. They light any flammable object they touch on fire.""},{""name"":""Ignite"",""description"":""Make an attack against a target within Very Close range. On a success, the target takes 1d8 magic damage and is ignited until they're extinguished with a successful Finesse Roll (14). While ignited, the target takes 1d4 magic damage when they make an action roll.""},{""name"":""Split"",""description"":""When the Ooze has 3 or more HP marked, you can spend a Fear to split them into two Tiny Red Oozes (with no marked HP or Stress).""}]","Immediately spotlight both of them.","OozePage 216"
"Tiny Red Ooze","1","Skulk","11","6","10","2","1","2","Melee","1d4+4","","[{""name"":""Burning"",""description"":""When a creature within Melee range deals damage to the Ooze, they take 1d6 direct magic damage.""}]","Tiny Red OozePage 216","OozePage 216"
"Rotted Zombie","1","Minion","8",,,"1","1","0","Melee","2 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Rotted Zombies within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each.""}]","Combine this damage.","ZombiePage 219"
"Royal Advisor","2","Social","14","8","15","3","3","2","Melee","1d4+3","[{""name"":""Administration"",""value"":3},{""name"":""Courtier"",""value"":3}]","[{""name"":""Devastating Retort"",""description"":""A PC who rolls less than 17 on an action roll targeting the Advisor must mark a Stress.""},{""name"":""Bend Ears"",""description"":""Mark a Stress to influence an NPC within Melee range with whispered words. That target's opinion on one matter shifts toward the Advisor's preference unless it is in direct opposition to the target's motives.""},{""name"":""Scapegoat"",""description"":""Spend a Fear to convince a crowd or notable individual that one person or group is responsible for some problem facing the target. The target becomes hostile to the scapegoat until convinced of their innocence with a successful Presence Roll (17).""}]","The target becomes hostile to the scapegoat until convinced of their innocence with a successful Presence Roll (17).","visorPage 225"
"Secret-Keeper","2","Leader","16","13","26","7","4","3","Melee","2d12 mag","[{""name"":""Coercion"",""value"":2},{""name"":""Fallen Lore"",""value"":2}]","[{""name"":""Seize Your Moment"",""description"":""Spend 2 Fear to spotlight 1d4 allies. Attacks they make while spotlighted in this way deal half damage.Our Master's""},{""name"":""Will"",""description"":""When you spotlight an ally within Far range, mark a Stress to gain a Fear.""}]","Secret-KeeperPage 226Errata","Secret-KeeperPage 226Errata"
"Sellsword","1","Minion","10",,,"1","1","3","Melee","3 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Sellswords within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 3 physical damage each.""}]","Combine this damage.","Page 217"
"Shambling Zombie","1","Standard","10","4","6","4","1","0","Melee","1d6+1 phy","","[{""name"":""Too Many to Handle"",""description"":""When the Zombie is within Melee range of a creature and at least one other Zombie is within Close range, all attacks against that creature have advantage.""},{""name"":""Horrifying"",""description"":""Targets who mark HP from the Zombie's attacks must also mark a""}]","Shambling ZombiePage 219","Shambling ZombiePage 219"
"Shark","2","Bruiser","14","14","28","7","3","2","Melee","2d12+1 phy","[{""name"":""Sense of Smell"",""value"":3}]","[{""name"":""Terrifying"",""description"":""When the Shark makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.""},{""name"":""Rending Bite"",""description"":""When the Shark makes a successful attack, the target must mark an Armor Slot without receiving its benefits (they can still use armor to reduce the damage). If they can't mark an Armor Slot, they must mark an additional HP.""},{""name"":""Blood in the Water"",""description"":""When a creature within Close range of the Shark marks HP from another creature's attack, you can mark a Stress to immediately spotlight the Shark, moving them into""}]","SharkPage 226","SharkPage 226"
"Siren","2","Skulk","14","9","18","5","3","2","Melee","2d6+3 phy","[{""name"":""Song Repertoire"",""value"":3}]","[{""name"":""Captive Audience"",""description"":""If the Siren makes a standard attack against a target Entranced by their song, the attack deals 2d10+1 damage instead of their standard damage.""},{""name"":""Enchanting Song"",""description"":""Spend a Fear to sing a song that affects all targets within Close range. Targets must succeed on an Instinct Reaction Roll or become Entranced until they mark 2 Stress. Other Sirens within Close range of the target can mark a Stress to each add a +1 bonus to the Difficulty of the reaction roll. While Entranced, a target can't act and is""}]","While Entranced, a target can't act and is Vulnerable.","SirenPage 226"
"Skeleton Archer","1","Ranged","9","4","7","3","2","2","Melee","1d8+1 phy","","[{""name"":""Opportunist"",""description"":""When two or more adversaries are within Very Close range of a creature, all damage they each deal to that creature is doubled.""},{""name"":""Deadly Shot"",""description"":""Make an attack against a Vulnerable target within Far range. On a success, mark a Stress to deal 3d4+8 physical damage.""}]","On a success, mark a Stress to deal 3d4+8 physical damage.","Skeleton ArcherPage 217"
"Skeleton Dredge","1","Minion","8",,,"1","1","0","Melee","1 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Dredges within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 1 physical damage each.""}]","Combine this damage.","gePage 217"
"Skeleton Knight","1","Bruiser","13","7","13","5","2","2","Melee","1d10+2 phy","","[{""name"":""Terrifying"",""description"":""When the Knight makes a successful attack, all PCs within Close range lose a Hope and you gain a Fear.""},{""name"":""Cut to the Bone"",""description"":""Mark a Stress to make an attack against all targets within Very Close range. Targets the Knight succeeds against take 1d8+2 physical damage and must mark a Stress.""},{""name"":""Dig Two Graves"",""description"":""When the Knight is defeated, they make an attack against a target within Very Close range (prioritizing the creature who killed them). On a success, the target takes 1d8+4 physical damage and loses 1d4""}]","On a success, the target takes 1d8+4 physical damage and loses 1d4 Hope.","Skeleton KnightPage 217"
"Skeleton Warrior","1","Standard","10","4","8","3","2","0","Melee","1d6+2 phy","","[{""name"":""Only Bones"",""description"":""The Warrior is resistant to physical damage.Reform—Reaction: When the Warrior is defeated, roll a d6. On a result of 6, if there are other adversaries on the battlefield, the Warrior re-forms with no marked""}]","Skeleton WarriorPage 217","Skeleton WarriorPage 217"
"Spectral Archer","2","Ranged","13","6","14","3","3","3","Melee","2d10+2 phy","[{""name"":""Ancient Knowledge"",""value"":2}]","[{""name"":""Ghost"",""description"":""The Archer has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.""},{""name"":""Pick Your Target"",""description"":""Spend a Fear to make an attack against a target within Very Close range of at least two other PCs. On a success, the target takes 2d8+12 physical damage.""}]","On a success, the target takes 2d8+12 physical damage.","Spectral ArcherPage 226"
"Spectral Captain","2","Leader","16","13","26","6","4","3","Melee","2d10+3 phy","[{""name"":""Ancient Knowledge"",""value"":3}]","[{""name"":""Ghost"",""description"":""The Captain has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.""},{""name"":""Unending Battle"",""description"":""Spend 2 Fear to return up to 1d4+1 defeated Spectral allies to the battle at the points where they first appeared (with no marked HP or Stress).""},{""name"":""Hold Fast"",""description"":""When the Captain's Spectral allies are forced to make a reaction roll, you can mark a Stress to give those allies a +2 bonus to the roll.""},{""name"":""Momentum"",""description"":""When the Captain makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Captain makes a successful attack against a PC, you gain a Fear.","Spectral CaptainPage 226"
"Spectral Guardian","2","Standard","15","7","15","4","3","1","Melee","2d8+1 phy","[{""name"":""Ancient Knowledge"",""value"":2}]","[{""name"":""Ghost"",""description"":""The Guardian has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.""},{""name"":""Grave Blade"",""description"":""Spend a Fear to make an attack against a target within Very Close range. On a success, deal 2d10+6 physical damage and the target must mark a""}]","On a success, deal 2d10+6 physical damage and the target must mark a Stress.","ianPage 226"
"Spellblade","1","Leader","14","8","14","6","3","3","Melee","1d8+4 phy","[{""name"":""Magical Knowledge"",""value"":2}]","[{""name"":""Arcane Steel"",""description"":""Damage dealt by the Spellblade's standard attack is considered both physical and magic.""},{""name"":""Suppressing Blast"",""description"":""Mark a Stress and target a group within Far range. All targets must succeed on an Agility Reaction Roll or take 1d8+2 magic damage. You gain a Fear for each target who marked HP from this attack.""},{""name"":""Move as Unit"",""description"":""Spend 2 Fear to spotlight up to five allies within Far range.""},{""name"":""Momentum"",""description"":""When the Spellblade makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Spellblade makes a successful attack against a PC, you gain a Fear.","ePage 217"
"Spy","2","Social","15","8","17","4","3","2","Melee","1d4+3","[{""name"":""Espionage"",""value"":3}]","[{""name"":""Gathering Secrets"",""description"":""Spend a Fear to describe how the Spy knows a secret about a PC in the scene.""},{""name"":""Fly on the Wall"",""description"":""When a PC or group is discussing something sensitive, you can mark a Stress to reveal that the Spy is present in the scene, observing them. If the Spy escapes the scene to report their findings, you gain 1d4""}]","If the Spy escapes the scene to report their findings, you gain 1d4 Fear.","SpyPage 227"
"Stag Knight","3","Standard","17","19","36","7","5","3","Melee","3d8+3 phy","[{""name"":""Forest Knowledge"",""value"":3}]","[{""name"":""From Above"",""description"":""When the Knight succeeds on a standard attack from above a target, they deal 3d12+3 physical damage instead of their standard damage.""},{""name"":""Blade of the Forest"",""description"":""Spend a Fear to make an attack against all targets within Very Close range. Targets the Knight succeeds against take physical damage equal to 3d4 + the target's Major threshold.""},{""name"":""Thorny Armor"",""description"":""When the Knight takes damage from an attack within Melee range, you can mark a Stress to deal 1d10+5 physical damage to the attacker.""}]","Thorny Armor—Reaction: When the Knight takes damage from an attack within Melee range, you can mark a Stress to deal 1d10+5 physical damage to the attacker.","Stag KnightPage 231"
"Stonewraith","2","Skulk","13","11","22","6","3","3","Melee","2d8+6 phy","[{""name"":""Stonesense"",""value"":3}]","[{""name"":""Stonestrider"",""description"":""The Stonewraith can move through stone and earth as easily as air. While within stone or earth, they are Hidden and immune to all damage.""},{""name"":""Rocky Ambush"",""description"":""While Hidden, mark a Stress to leap into Melee range with a target within Very Close range. The target must succeed on an Agility or Instinct Reaction Roll (15) or take 2d8 physical damage and become temporarily Restrained.Avalanche Roar—Action: Spend a Fear to roar while within a cave and cause a cave-in. All targets within Close range must succeed on an Agility Reaction Roll (14) or take 2d10 physical damage. The rubble can be cleared with a Progress Countdown (8).""},{""name"":""Momentum"",""description"":""When the Stonewraith makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Stonewraith makes a successful attack against a PC, you gain a Fear.","StonewraithPage 227"
"Swarm of Rats","1","Horde","10","6","10","6","2","0","Melee","1d6+4","","","In Your Face—Passive: All targets within Melee range have disadvantage on attacks against targets other than the Swarm.","Swarm of RatsPage 218"
"Sylvan Soldier","1","Standard","11","6","11","4","2","0","Melee","1d8+1 phy","[{""name"":""Tracker"",""value"":2}]","[{""name"":""Pack Tactics"",""description"":""If the Soldier makes a standard attack and another Sylvan Soldier is within Melee range of the target, deal 1d8+5 physical damage instead of their standard damage.""},{""name"":""Forest Control"",""description"":""Spend a Fear to pull down a tree within Close range. A creature hit by the tree must succeed on an Agility Reaction Roll (15) or take 1d10 physical damage.""},{""name"":""Blend In"",""description"":""When the Soldier makes a successful attack, you can mark a Stress to become Hidden until the Soldier's next attack or a PC succeeds on an Instinct Roll (14) to find them.""}]","Blend In—Reaction: When the Soldier makes a successful attack, you can mark a Stress to become Hidden until the Soldier's next attack or a PC succeeds on an Instinct Roll (14) to find them.","ierPage 218"
"Tangle Bramble","1","Minion","11",,,"1","1","0","Melee","2 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Tangle Brambles within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 2 physical damage each. Combine this damage.""},{""name"":""Drain and Multiply"",""description"":""When an attack from the Bramble causes a target to mark HP and there are three or more Tangle Bramble Minions within Close range, you can combine the Minions into a Tangle Bramble Swarm Horde. The Horde's""}]","Tangle BramblePage 218","Tangle BramblePage 218"
"Tangle Bramble Swarm","1","Horde","12","6","11","6","3","0","Melee","1d6+3 phy","[{""name"":""Camouflage"",""value"":2}]","[{""name"":""Crush"",""description"":""Mark a Stress to deal 2d6+8 direct physical damage to a target with 3 or more bramble tokens.""},{""name"":""Encumber"",""description"":""When the Swarm succeeds on an attack, give the target a bramble token. If a target has any bramble tokens, they are Restrained. If a target has 3 or more bramble tokens, they are also Vulnerable. All bramble tokens can be removed by succeeding on a Finesse Roll (12 + the number of bramble tokens) or dealing Major or greater damage to the Swarm. If bramble tokens are removed from a target using a Finesse Roll, a number of""}]","If bramble tokens are removed from a target using a Finesse Roll, a number of Tangle Bramble Minions spawn within Melee range equal to the number of tokens removed.","Tangle Bramble SwarmPage 218"
"Treant Sapling","3","Minion","14",,,"1","1","0","Melee","8 phy","","[{""name"":""Group Attack"",""description"":""Spend a Fear to choose a target and spotlight all Treant Saplings within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 8 physical damage each.""}]","Combine this damage.","Treant SaplingPage 232"
"Vampire","3","Standard","16","18","35","5","4","3","Melee","3d8 phy","[{""name"":""Nocturnal Hunter"",""value"":3}]","[{""name"":""Draining Bite"",""description"":""Make an attack against a target within Melee range. On a success, deal 4d physical damage. A target who marks HP from this attack loses a Hope and must mark a Stress. The Vampire then clears a HP.""},{""name"":""Mistform"",""description"":""When the Vampire takes physical damage, you can spend a""}]","Mistform—Reaction: When the Vampire takes physical damage, you can spend a Fear to take half damage.","VampirePage 232"
"Vault Guardian Gaoler","3","Support","16","19","33","5","3","2","Melee","3d6+2 phy","","[{""name"":""Blocking Shield"",""description"":""Creatures within Melee range of the Gaoler have disadvantage on attack rolls against them. Creatures trapped inside the Gaoler are immune to this feature.""},{""name"":""Lock Up"",""description"":""Mark a Stress to make an attack against a target within Very Close range. On a success, the target is Restrained within the Gaoler until freed with a successful Strength Roll (18). While Restrained, the target can only attack the""}]","While Restrained, the target can only attack the Gaoler.","ian GaolerPage 232"
"Vault Guardian Sentinel","3","Bruiser","17","21","40","6","3","3","Melee","2d12+1 phy","","[{""name"":""Kinetic Slam"",""description"":""Targets who take damage from the Sentinel's standard attack are knocked back to Very Close range.""},{""name"":""Box In"",""description"":""Mark a Stress to choose a target within Very Close range to focus on. That target has disadvantage on attack rolls when they're within Very Close range of the Sentinel. The Sentinel can only focus on one target at a time.""},{""name"":""Mana Bolt"",""description"":""Spend a Fear to lob explosive magic at a point within Far range. All targets within Very Close range of that point must make an Agility Reaction Roll. Targets who fail take 8d20 magic damage and are knocked back to Close range. Targets who succeed take half damage and aren't knocked back.""},{""name"":""Momentum"",""description"":""When the Sentinel makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Sentinel makes a successful attack against a PC, you gain a Fear.","ian SentinelPage 232"
"Vault Guardian Turret","3","Ranged","16","20","32","5","4","3","Melee","3d10+3 mag","","[{""name"":""Slow Firing"",""description"":""When you spotlight the Turret and they don't have a token on their stat block, they can't make a standard attack. Place a token on their stat block and describe what they're preparing to do. When you spotlight the Turret and they have a token on their stat block, clear the token and they can attack.""},{""name"":""Mark Target"",""description"":""Spend a Fear to Mark a target within Far range until the Turret is destroyed or the Marked target becomes Hidden. While the target is Marked, their Evasion is halved.""},{""name"":""Concentrate Fire"",""description"":""When another adversary deals damage to a target within Far range of the Turret, you can mark a Stress to add the Turret's standard attack damage to the damage roll.""},{""name"":""Detonation"",""description"":""When the Turret is destroyed, they explode. All targets within Close range must make an Agility Reaction Roll. Targets who fail take 3d20 physical damage.""}]","Targets who succeed take half damage.","ian TurretPage 233"
"Volcanic Dragon: Obsidian Predator","4","Solo","19","33","65","6","5","8","Melee","4d10+4 phy","[{""name"":""Hunt from Above"",""value"":5}]","[{""name"":""Flying"",""description"":""While flying, the Obsidian Predator gains +3 Difficulty.""},{""name"":""Obsidian Scales"",""description"":""The Obsidian Predator is resistant to physical damage.""}]","","atorPage 238"
"Volcanic Dragon: Molten Scourge","4","Solo","20","30","58","7","5","9","Melee","4d12+4 phy","[{""name"":""Hunt from Above"",""value"":5}]","[{""name"":""Cracked Scales"",""description"":""When the Molten Scourge takes damage, roll a number of d6s equal to HP marked. For each result of 4 or higher, you gain a Fear.""},{""name"":""Shattering Might"",""description"":""Mark a Stress to make an attack against a target within Very Close range. On a success, target takes 4d8+14 physical damage, loses a Hope, and is knocked back to Close range. The Molten Scourge clears a Stress.""},{""name"":""Eruption"",""description"":""Spend a Fear to erupt lava from beneath the Molten Scourge's scales, filling area within Very Close range with lava. All targets must make Agility Reaction Roll or take 4d6+6 physical damage and be knocked back to Close range. The area remains lava (6 HP damage on entry or action).""},{""name"":""Volcanic Breath"",""description"":""When the Molten Scourge takes Major damage, roll d10. On 8+, erupt lava in Very Close range: Agility Reaction Roll. Targets who fail take 2d10+4 physical damage, mark 1d4 Stress, and are Vulnerable until clearing a Stress. Targets who succeed take half damage and must mark a Stress.""}]","","ragon: Molten ScourgePage 238"
"Volcanic Dragon: Ashen Tyrant","4","Solo","18","29","55","8","5","10","Melee","4d12+15 phy","[{""name"":""Hunt from Above"",""value"":5}]","[{""name"":""Cornered"",""description"":""Mark a Stress instead of spending a Fear to spotlight the Ashen Tyrant.""},{""name"":""Injured Wings"",""description"":""While flying, the Ashen Tyrant gains a +1 bonus to their Difficulty.""},{""name"":""Ashes to Ashes"",""description"":""When a PC rolls a failure while within Close range of the Ashen Tyrant, they lose a Hope and you gain a Fear. If the PC can't lose a Hope, they must mark a HP.""},{""name"":""Desperate Rampage"",""description"":""Mark a Stress to make an attack against all targets within Close range. Targets the Ashen Tyrant succeeds against take 2d20+2 physical damage, are knocked back to Close range of where they were, and must mark a Stress.""},{""name"":""Ashen Cloud"",""description"":""Spend a Fear to smash the ground beneath an adversary within Far range. While within the ash cloud, a target has disadvantage on action rolls. The ash cloud clears the next time an adversary is spotlighted.""},{""name"":""Apocalyptic Thrashing"",""description"":""Countdown (1d12). Spend a Fear to activate it. It ticks down when a PC rolls with Fear. When it reaches 0, the Ashen Tyrant thrashes about, causing environmental damage (such as an earthquake, avalanche, or collapsing walls). All targets within Far range must make a Strength Reaction Roll. Targets who fail take 2d10+10 physical damage and are Restrained by the rubble until they break free with a successful Strength Roll. Targets who succeed take half damage. If the Ashen Tyrant is defeated while this countdown is active, trigger the countdown immediately as the destruction caused by their death throes.""}]","If the Ashen Tyrant is defeated while this countdown is active, trigger the countdown immediately as the destruction caused by their death throes.","ragon: Ashen TyrantPage 238"
"War Wizard","2","Ranged","16","11","23","5","6","4","Melee","2d10+4 mag","[{""name"":""Magical Knowledge"",""value"":2},{""name"":""Strategize"",""value"":2}]","[{""name"":""Battle Teleport"",""description"":""Before or after making a standard attack, you can mark a Stress to teleport to a location within Far range.""},{""name"":""Refresh Warding Sphere"",""description"":""Mark a Stress to refresh the Wizard's Warding Sphere reaction.""},{""name"":""Eruption"",""description"":""Spend a Fear and choose a point within Far range. A Very Close area around that point erupts into impassable terrain. All targets within that area must make an Agility Reaction Roll (14). Targets who fail take 2d10 physical damage and are thrown out of the area. Targets who succeed take half damage and aren't moved.""},{""name"":""Arcane Artillery"",""description"":""Spend a Fear to unleash a precise hail of magical blasts. All targets in the scene must make an Agility Reaction Roll. Targets who fail take 2d12 magic damage. Targets who succeed take half damage.""},{""name"":""Warding Sphere"",""description"":""When the Wizard takes damage from an attack within Close range, deal 2d6 magic damage to the attacker. This reaction can't be used again until the""}]","This reaction can't be used again until the Wizard refreshes it with their Refresh Warding Sphere action.","Page 202"
"Weaponmaster","1","Bruiser","14","8","15","6","3","2","Melee","1d12+2 phy","","[{""name"":""Goading Strike"",""description"":""Make a standard attack against a target. On a success, mark a Stress to Taunt the target until their next successful attack. The next time the Taunted target attacks, they have disadvantage against targets other than the Weaponmaster.""},{""name"":""Adrenaline Burst"",""description"":""Once per scene, spend a Fear to clear 2 HP and 2 Stress.""},{""name"":""Momentum"",""description"":""When the Weaponmaster makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Weaponmaster makes a successful attack against a PC, you gain a Fear.","WeaponmasterPage 218"
"Young Dryad","1","Leader","11","6","11","6","2","0","Melee","1d8+5 phy","[{""name"":""Leadership"",""value"":3}]","[{""name"":""Voice of the Forest"",""description"":""Mark a Stress to spotlight 1d4 allies within range of a target they can attack without moving. On a success, their attacks deal half damage.""},{""name"":""Thorny Cage"",""description"":""Spend a Fear to form a cage around a target within Very Close range and Restrain them until they're freed with a successful Strength Roll. When a creature makes an action roll against the cage, they must mark a Stress.""},{""name"":""Momentum"",""description"":""When the Dryad makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Dryad makes a successful attack against a PC, you gain a Fear.","Page 218"
"Young Ice Dragon","3","Solo","18","21","41","10","6","7","Melee","4d10 phy","[{""name"":""Protect What Is Mine"",""value"":3}]","[{""name"":""Rend and Crush"",""description"":""If a target damaged by the Dragon doesn't mark an Armor Slot to reduce the damage, they must mark a Stress.""},{""name"":""No Hope"",""description"":""When a PC rolls with Fear while within Far range of the Dragon, they lose a Hope.""},{""name"":""Blizzard Breath"",""description"":""Spend 2 Fear to release an icy whirlwind in an area within Close range. All targets in this area must make an Agility Reaction Roll. Targets who fail take 4d6+5 magic damage and are Restrained by ice until they break free with a successful Strength Roll. Targets who succeed must mark 2 Stress or take half damage.""},{""name"":""Avalanche"",""description"":""Spend a Fear to have the Dragon unleash a huge downfall of snow and ice, covering all other creatures within Far range. All targets within this area must succeed on an Instinct Reaction Roll or be buried in snow and rocks, becoming Vulnerable until they dig themselves out from the debris. For each PC that fails the reaction roll, you gain a Fear.""},{""name"":""Frozen Scales"",""description"":""When a creature makes a successful attack against the Dragon from within Very Close range, they must mark a Stress and become Chilled until their next rest or they clear a Stress. While they are Chilled, they have disadvantage on attack rolls.""},{""name"":""Momentum"",""description"":""When the Dragon makes a successful attack against a PC, you gain a""}]","Momentum—Reaction: When the Dragon makes a successful attack against a PC, you gain a Fear.","ragonPage 233"
"Zombie Legion","4","Horde","17","2","45","8","5","2","Melee","4d6+10 phy","","[{""name"":""Unyielding"",""description"":""Legion has resistance to physical damage.Relentless (2)—Passive: Legion can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight.""},{""name"":""Overwhelm"",""description"":""When Legion takes Minor damage from attack within Melee, mark a""}]","Overwhelm—Reaction: When Legion takes Minor damage from attack within Melee, mark a Stress to make standard attack with advantage against the attacker.","Zombie LegionPage 239Errata"
"Zombie Pack","1","Horde","8","6","12","6","3","0","Melee","1d6+4","","[{""name"":""Overwhelm"",""description"":""When the Zombies mark HP from an attack within Melee range, you can mark a""}]","Zombie PackPage 219","Zombie PackPage 219"
